,benchmark,target,total_iterations,threads,terms,series,start_rate,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,workers,precision,messages_per_worker,write_percentage,num_workers,grid_size,priorities,threshold,size,solution_limit,pings,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,actors,size_percentage,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,messages,accounts,transactions,block_size,max_edge_weight,rounds,smokers,data_size,max_value,seed,columns,simulations,channels
0,Logistic Map Series,lf-c,12,1,25000.0,10.0,3.46,adaptive,45.182,45.536,45.33,45.329583333333325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Logistic Map Series,lf-c,12,1,25000.0,10.0,3.46,GEDF_NP,83.932,84.491,84.0255,84.06941666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Precise Pi Computation,lf-c,12,1,,,,GEDF_NP,129.315,129.461,129.35649999999998,129.369,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Concurrent Dictionary,lf-c,12,1,,,,adaptive,70.685,78.626,77.7055,77.29091666666666,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A-Star Search,lf-c,12,12,,,,NP,177.22,586.04,517.575,476.29723076923074,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Precise Pi Computation,lf-c,12,12,,,,adaptive,82.052,87.161,83.639,83.75791666666666,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A-Star Search,lf-c,12,12,,,,adaptive,379.425,620.163,551.01,524.2970769230768,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NQueens first N solutions,lf-c,12,1,,,,NP,409.793,411.923,410.67449999999997,410.7482499999999,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ping Pong,lf-c,12,12,,,,GEDF_NP,146.144,146.978,146.236,146.30883333333333,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sleeping Barber,lf-c,12,1,,,,GEDF_NP,75.276,75.564,75.344,75.36774999999999,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Trapezoidal Approximation,lf-c,12,12,,,,adaptive,68.535,72.526,68.858,69.19808333333333,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Philosophers,lf-c,12,12,,,,adaptive,51.221,727.227,51.3775,107.72433333333332,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Thread Ring,lf-c,12,1,,,,NP,81.017,81.344,81.0855,81.09874999999998,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
13,Concurrent Dictionary,lf-c,12,12,,,,NP,283.181,404.906,359.797,357.3889166666667,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Precise Pi Computation,lf-c,12,12,,,,NP,73.996,82.983,74.87299999999999,75.51925,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Concurrent Sorted Linked List,lf-c,12,12,,,,NP,350.32,379.308,363.043,364.15766666666667,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,Chameneos,lf-c,12,12,,,,NP,284.788,298.177,292.804,292.029,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
17,Producer Consumer (bounded),lf-c,12,12,,,,NP,114.667,120.541,116.64150000000001,117.12341666666667,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
18,Recursive Matrix Multiplication,lf-c,12,1,,,,GEDF_NP,174.174,180.313,175.166,175.7405,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
19,Producer Consumer (bounded),lf-c,12,1,,,,adaptive,215.339,215.774,215.401,215.46366666666665,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
20,Producer Consumer (bounded),lf-c,12,12,,,,adaptive,126.843,129.401,128.0875,128.16225,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
21,Fork Join (throughput),lf-c,12,12,,,,NP,154.8,184.963,173.346,172.9621666666667,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
22,Trapezoidal Approximation,lf-c,12,12,,,,GEDF_NP,68.727,69.706,69.1535,69.15716666666667,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Thread Ring,lf-c,12,12,,,,NP,80.418,80.754,80.4435,80.47808333333332,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
24,Concurrent Dictionary,lf-c,12,1,,,,NP,70.686,77.938,77.3925,76.92858333333335,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NQueens first N solutions,lf-c,12,1,,,,GEDF_NP,410.007,412.441,411.31550000000004,411.1858333333334,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bank Transaction,lf-c,12,1,,,,adaptive,153.824,162.503,156.04250000000002,156.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
27,All-Pairs Shortest Path,lf-c,12,1,,,,GEDF_NP,248.145,251.669,249.21249999999998,249.2855833333333,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
28,Logistic Map Series,lf-c,12,12,25000.0,10.0,3.46,adaptive,45.778,2262.608,45.83,234.00050000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cigarette Smokers,lf-c,12,12,,,,GEDF_NP,1.844,2.013,1.8505,1.864333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
30,Thread Ring,lf-c,12,1,,,,adaptive,90.168,92.211,90.205,90.38241666666666,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
31,Radix Sort,lf-c,12,1,,,,GEDF_NP,532.791,534.63,534.304,534.1940833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
32,Filter Bank,lf-c,12,1,,,,adaptive,194.91,195.641,194.95800000000003,195.03391666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
