,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,actors,pings,num_workers,block_size,max_edge_weight,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,eating_rounds,philosophers,workers,data_length,block_threshold,priorities,precision,messages,pieces,left,right,terms,series,start_rate,accounts,transactions,data_size,max_value,seed,size,threshold,solution_limit,messages_per_worker,write_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,grid_size,size_percentage,columns,simulations,channels
0,Cigarette Smokers,lf-c,12,2,1000.0,200.0,NP,1.729,1.845,1.7325,1.74225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Thread Ring,lf-c,12,4,,,NP,81.652,82.382,81.7055,81.83383333333335,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,All-Pairs Shortest Path,lf-c,12,9,,,GEDF_NP,143.863,152.162,146.1855,146.92566666666667,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,All-Pairs Shortest Path,lf-c,12,4,,,adaptive,137.66,140.423,138.09050000000002,138.53625000000002,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cigarette Smokers,lf-c,12,2,1000.0,200.0,GEDF_NP,1.844,2.154,1.851,1.9039166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chameneos,lf-c,12,2,,,GEDF_NP,262.288,271.519,266.192,266.65591666666666,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Producer Consumer (bounded),lf-c,12,2,,,NP,112.465,116.26,112.6755,113.07316666666667,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Philosophers,lf-c,12,4,,,adaptive,48.533,55.246,48.601,49.155,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Recursive Matrix Multiplication,lf-c,12,2,,,GEDF_NP,90.067,98.075,91.49199999999999,92.93975,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Precise Pi Computation,lf-c,12,4,,,GEDF_NP,71.768,72.621,72.28200000000001,72.22133333333333,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chameneos,lf-c,12,4,,,NP,241.711,253.739,250.809,249.80100000000004,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ping Pong,lf-c,12,2,,,NP,94.271,94.396,94.29599999999999,94.30516666666665,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Philosophers,lf-c,12,18,,,adaptive,48.48,5092.659,48.5595,730.05175,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Big,lf-c,12,2,,,adaptive,185.551,191.532,189.32049999999998,189.05858333333333,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
