,benchmark,target,total_iterations,threads,workers,messages_per_worker,write_percentage,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,num_workers,size,threshold,priorities,solution_limit,precision,data_size,max_value,seed,pings,rounds,smokers,messages,columns,simulations,channels,actors,accounts,transactions,block_size,max_edge_weight,size_percentage,terms,series,start_rate,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,grid_size
0,Concurrent Dictionary,lf-c,12,6,20.0,10000.0,10.0,NP,284.693,315.233,296.4835,296.08116666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NQueens first N solutions,lf-c,12,24,,,,adaptive,242.032,259.765,243.536,244.7860833333333,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Precise Pi Computation,lf-c,12,24,20.0,,,adaptive,88.284,102.763,92.844,94.09408333333333,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Radix Sort,lf-c,12,3,,,,adaptive,512.737,513.246,513.0364999999999,512.9899999999999,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Concurrent Dictionary,lf-c,12,3,20.0,10000.0,10.0,GEDF_NP,164.751,179.723,171.9225,172.04674999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ping Pong,lf-c,12,3,,,,GEDF_NP,146.116,146.227,146.1655,146.16441666666665,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cigarette Smokers,lf-c,12,6,,,,GEDF_NP,1.845,2.169,1.851,1.914583333333333,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Counting Actor,lf-c,12,3,,,,NP,242.022,242.644,242.055,242.13991666666666,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ping Pong,lf-c,12,24,,,,NP,94.326,95.865,94.41050000000001,94.65525000000001,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Filter Bank,lf-c,12,6,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Counting Actor,lf-c,12,24,,,,NP,241.388,242.673,242.047,242.03449999999998,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fork Join (throughput),lf-c,12,24,,,,NP,136.121,217.944,195.37599999999998,189.38425000000004,,,,,,,,,,,,,10000.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Radix Sort,lf-c,12,3,,,,GEDF_NP,532.722,535.29,534.7860000000001,534.6709166666666,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Big,lf-c,12,6,,,,GEDF_NP,234.953,239.776,237.732,237.59866666666665,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bank Transaction,lf-c,12,3,,,,adaptive,91.441,116.59,93.56049999999999,97.79458333333332,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,All-Pairs Shortest Path,lf-c,12,24,,,,NP,148.91,156.265,151.21249999999998,151.5476666666667,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
16,Concurrent Sorted Linked List,lf-c,12,24,20.0,1500.0,10.0,GEDF_NP,392.409,461.801,420.281,422.4348333333333,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,Precise Pi Computation,lf-c,12,6,20.0,,,GEDF_NP,72.246,73.101,72.456,72.5955,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Big,lf-c,12,24,,,,adaptive,384.208,392.6,386.97900000000004,387.58691666666664,,,,,,,,,,,,,500.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Cigarette Smokers,lf-c,12,3,,,,GEDF_NP,1.844,1.882,1.8485,1.8530833333333332,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ping Pong,lf-c,12,3,,,,NP,94.274,94.924,94.31,94.39525000000002,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Cigarette Smokers,lf-c,12,3,,,,adaptive,1.764,1.901,1.779,1.7871666666666668,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Logistic Map Series,lf-c,12,3,,,,NP,285.313,310.577,303.58450000000005,301.30758333333335,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
23,Sleeping Barber,lf-c,12,3,,,,adaptive,75.171,77.982,75.3715,75.60033333333332,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
24,Trapezoidal Approximation,lf-c,12,6,100.0,,,GEDF_NP,68.688,71.622,68.9665,69.21808333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
25,Thread Ring,lf-c,12,3,,,,NP,80.956,81.067,80.99549999999999,80.99558333333333,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sleeping Barber,lf-c,12,6,,,,adaptive,75.262,76.194,75.41550000000001,75.50358333333332,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
27,Sleeping Barber,lf-c,12,24,,,,adaptive,76.342,77.606,76.717,76.76308333333334,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
28,Philosophers,lf-c,12,3,,,,adaptive,49.606,104.513,49.7225,54.274750000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
29,All-Pairs Shortest Path,lf-c,12,6,,,,GEDF_NP,140.623,143.938,142.26049999999998,142.41049999999998,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
30,Chameneos,lf-c,12,3,,,,GEDF_NP,312.723,316.134,314.59749999999997,314.39983333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
