,benchmark,target,total_iterations,threads,workers,data_length,block_threshold,priorities,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,precision,num_workers,block_size,max_edge_weight,rounds,smokers,actors,pings,columns,simulations,channels,eating_rounds,philosophers,messages,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,meetings,chameneos,messages_per_worker,write_percentage,data_size,max_value,seed,haircuts,waiting_room_size,production_rate,haircut_rate,size_percentage,pieces,left,right,size,threshold,solution_limit,grid_size,accounts,transactions,terms,series,start_rate
0,Recursive Matrix Multiplication,lf-cpp,12,1,20.0,512.0,16384.0,10.0,master,[],default,149.314,159.764,153.10649999999998,153.62525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Precise Pi Computation,lf-cpp,12,1,20.0,,,,master,[],default,172.426,185.346,175.0205,176.89974999999995,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,All-Pairs Shortest Path,lf-cpp,12,1,,,,,master,[],default,535.079,577.997,548.4475,552.1858333333333,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cigarette Smokers,lf-cpp,12,1,,,,,master,[],default,9.00565,15.445,9.56615,10.059954166666667,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thread Ring,lf-cpp,12,12,,,,,master,[],default,190.832,194.314,192.518,192.64341666666667,,,,,,,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Filter Bank,lf-cpp,12,12,,,,,master,[],default,268.278,301.15,278.00649999999996,281.15608333333336,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Philosophers,lf-cpp,12,12,,,,,master,[],default,93.0704,103.137,96.6566,96.83999166666668,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Big,lf-cpp,12,1,,,,,master,[],default,237.562,262.17,247.128,248.70141666666666,,,,,,,120.0,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Big,lf-cpp,12,12,,,,,master,[],default,247.46,275.71,256.75350000000003,259.24191666666667,,,,,,,120.0,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thread Ring,lf-cpp,12,1,,,,,master,[],default,185.363,204.555,188.72449999999998,192.17225,,,,,,,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Producer Consumer (bounded),lf-cpp,12,1,,,,,master,[],default,298.567,327.494,302.411,304.49025,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
11,Recursive Matrix Multiplication,lf-cpp,12,12,20.0,512.0,16384.0,10.0,master,[],default,76.6204,111.107,77.62129999999999,81.62429166666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chameneos,lf-cpp,12,12,,,,,master,[],default,471.664,510.702,477.2935,482.04541666666677,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,
13,Concurrent Dictionary,lf-cpp,12,1,20.0,,,,master,[],default,83.8831,94.6129,88.33340000000001,88.95800833333334,,,,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,
14,All-Pairs Shortest Path,lf-cpp,12,12,,,,,master,[],default,395.895,440.917,410.8005,412.9845,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Radix Sort,lf-cpp,12,1,,,,,master,[],default,393.122,422.327,401.7515,402.9873333333333,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,
16,Sleeping Barber,lf-cpp,12,1,,,,,master,[],default,173.256,184.177,178.655,178.96583333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,
17,Producer Consumer (bounded),lf-cpp,12,12,,,,,master,[],default,193.453,210.327,201.89749999999998,200.85183333333336,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
18,Concurrent Sorted Linked List,lf-cpp,12,12,20.0,,,,master,[],default,214.953,335.641,226.248,235.48533333333333,,,,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,1.0,,,,,,,,,,,,
19,Radix Sort,lf-cpp,12,12,,,,,master,[],default,426.978,473.258,445.106,445.72883333333334,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,
20,Trapezoidal Approximation,lf-cpp,12,1,100.0,,,,master,[],default,147.548,158.351,150.139,151.23408333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,
21,Concurrent Sorted Linked List,lf-cpp,12,1,20.0,,,,master,[],default,207.206,226.486,210.469,212.47074999999998,,,,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,1.0,,,,,,,,,,,,
22,Chameneos,lf-cpp,12,1,,,,,master,[],default,446.839,474.372,461.1605,459.7608333333333,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,
23,NQueens first N solutions,lf-cpp,12,1,,,,10.0,master,[],default,668.16,688.639,674.2650000000001,675.6670833333334,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,
24,Fork Join (throughput),lf-cpp,12,12,,,,,master,[],default,28.1535,34.4629,28.99205,29.489191666666667,,,,,,,60.0,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Concurrent Dictionary,lf-cpp,12,12,20.0,,,,master,[],default,89.7926,97.0086,93.88874999999999,93.91784166666666,,,,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,
26,NQueens first N solutions,lf-cpp,12,12,,,,10.0,master,[],default,410.074,453.146,432.688,430.67558333333324,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,
27,Filter Bank,lf-cpp,12,1,,,,,master,[],default,249.023,266.338,252.9505,253.57058333333336,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A-Star Search,lf-cpp,12,1,,,,30.0,master,[],default,34.4168,40.5445,35.75405,36.40168333333334,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,,30.0,,,,,
29,Fork Join (throughput),lf-cpp,12,1,,,,,master,[],default,26.7164,28.4009,27.54925,27.606158333333337,,,,,,,60.0,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Precise Pi Computation,lf-cpp,12,12,20.0,,,,master,[],default,117.6,133.54,123.04050000000001,124.63808333333333,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A-Star Search,lf-cpp,12,12,,,,30.0,master,[],default,162.77,471.661,345.443,359.26574999999997,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,,30.0,,,,,
32,Cigarette Smokers,lf-cpp,12,12,,,,,master,[],default,9.24273,10.3945,9.524180000000001,9.614094166666666,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Counting Actor,lf-cpp,12,12,,,,,master,[],default,361.394,396.387,366.721,371.7471666666667,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ping Pong,lf-cpp,12,1,,,,,master,[],default,126.387,134.217,129.89100000000002,130.263,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bank Transaction,lf-cpp,12,1,,,,,master,[],default,279.322,306.44,286.706,289.4190833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,
36,Logistic Map Series,lf-cpp,12,1,,,,,master,[],default,59.5734,66.5472,61.55645,61.96499166666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46
37,Philosophers,lf-cpp,12,1,,,,,master,[],default,82.6827,115.966,85.8657,88.04920833333331,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Trapezoidal Approximation,lf-cpp,12,12,100.0,,,,master,[],default,74.7451,86.6124,77.7223,78.19289166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,
39,Counting Actor,lf-cpp,12,1,,,,,master,[],default,301.99,319.398,306.66999999999996,306.98433333333327,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sleeping Barber,lf-cpp,12,12,,,,,master,[],default,180.031,193.957,185.91750000000002,185.27999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,
41,Logistic Map Series,lf-cpp,12,12,,,,,master,[],default,66.3939,73.2028,68.82465,68.97362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46
42,Ping Pong,lf-cpp,12,12,,,,,master,[],default,144.57,154.359,146.902,147.06875,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bank Transaction,lf-cpp,12,12,,,,,master,[],default,169.73,187.178,175.68,177.44674999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,
