,benchmark,target,total_iterations,threads,workers,data_length,block_threshold,priorities,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,precision,num_workers,block_size,max_edge_weight,rounds,smokers,actors,pings,columns,simulations,channels,eating_rounds,philosophers,messages,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,messages_per_worker,write_percentage,data_size,max_value,seed,haircuts,waiting_room_size,production_rate,haircut_rate,size_percentage,pieces,left,right,size,threshold,solution_limit,grid_size,accounts,transactions,terms,series,start_rate
0,Recursive Matrix Multiplication,lf-cpp,12,1,20.0,512.0,16384.0,10.0,master,[],default,166.202,174.995,166.6295,167.61958333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Precise Pi Computation,lf-cpp,12,1,20.0,,,,master,[],default,131.33,131.786,131.4395,131.46633333333332,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,All-Pairs Shortest Path,lf-cpp,12,1,,,,,master,[],default,489.664,490.482,489.942,490.00325,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cigarette Smokers,lf-cpp,12,1,,,,,master,[],default,8.93326,8.99616,8.94171,8.948593333333335,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thread Ring,lf-cpp,12,12,,,,,master,[],default,181.304,184.219,181.48250000000002,181.85233333333338,,,,,,,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Filter Bank,lf-cpp,12,12,,,,,master,[],default,273.461,278.094,274.846,275.0474166666667,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Philosophers,lf-cpp,12,12,,,,,master,[],default,85.3375,88.1397,87.1481,87.00013333333334,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Big,lf-cpp,12,1,,,,,master,[],default,284.891,291.28,288.416,288.40225000000004,,,,,,,120.0,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Big,lf-cpp,12,12,,,,,master,[],default,286.382,293.867,288.422,289.2036666666667,,,,,,,120.0,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thread Ring,lf-cpp,12,1,,,,,master,[],default,175.888,176.287,176.0715,176.07983333333334,,,,,,,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Producer Consumer (bounded),lf-cpp,12,1,,,,,master,[],default,266.917,270.701,267.4415,267.9445,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
11,Recursive Matrix Multiplication,lf-cpp,12,12,20.0,512.0,16384.0,10.0,master,[],default,84.3771,94.564,86.25515,87.54185000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Concurrent Dictionary,lf-cpp,12,1,20.0,,,,master,[],default,79.0277,82.5808,82.4468,81.95879166666666,,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,
13,All-Pairs Shortest Path,lf-cpp,12,12,,,,,master,[],default,377.002,418.7,395.15599999999995,396.32300000000004,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Radix Sort,lf-cpp,12,1,,,,,master,[],default,399.745,404.589,402.9605,402.43133333333327,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,
15,Sleeping Barber,lf-cpp,12,1,,,,,master,[],default,91.638,92.049,91.89725,91.87716666666667,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,
16,Producer Consumer (bounded),lf-cpp,12,12,,,,,master,[],default,177.2,194.737,186.40550000000002,186.43366666666668,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
17,Concurrent Sorted Linked List,lf-cpp,12,12,20.0,,,,master,[],default,203.66,261.678,207.1705,213.72608333333332,,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,1.0,,,,,,,,,,,,
18,Radix Sort,lf-cpp,12,12,,,,,master,[],default,422.642,437.394,426.8745,427.7494166666666,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,
19,Trapezoidal Approximation,lf-cpp,12,1,100.0,,,,master,[],default,137.03,137.232,137.0795,137.10166666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,
20,Concurrent Sorted Linked List,lf-cpp,12,1,20.0,,,,master,[],default,197.644,198.756,198.0475,198.04575,,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,1.0,,,,,,,,,,,,
21,NQueens first N solutions,lf-cpp,12,1,,,,10.0,master,[],default,676.964,680.914,678.4155000000001,678.7412499999999,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,
22,Fork Join (throughput),lf-cpp,12,12,,,,,master,[],default,27.6102,29.039,28.128300000000003,28.203441666666667,,,,,,,60.0,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Concurrent Dictionary,lf-cpp,12,12,20.0,,,,master,[],default,84.1471,91.3956,87.62415,87.58064999999999,,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,
24,NQueens first N solutions,lf-cpp,12,12,,,,10.0,master,[],default,413.644,433.034,425.80949999999996,425.0033333333334,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,
