,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,meetings,chameneos,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
0,Counting Actor,lf-cpp,12,2,1000000.0,master,[],default,317.355,336.005,323.495,323.97150000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chameneos,lf-cpp,12,2,,master,[],default,446.504,511.035,487.871,488.61308333333324,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Philosophers,lf-cpp,12,2,,master,[],default,163.278,177.683,167.5335,168.02508333333333,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Precise Pi Computation,lf-cpp,12,4,,master,[],default,108.857,135.919,133.542,131.66675,,,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sleeping Barber,lf-cpp,12,9,,master,[],default,200.612,208.78,204.098,203.87116666666668,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Fork Join (throughput),lf-cpp,12,18,10000.0,master,[],default,28.3298,32.255,29.20595,29.640216666666664,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Recursive Matrix Multiplication,lf-cpp,12,2,,master,[],default,78.4537,84.0154,80.15695,80.87998333333333,,,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Logistic Map Series,lf-cpp,12,18,,master,[],default,66.9896,77.3772,70.8113,71.24618333333332,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Big,lf-cpp,12,4,500.0,master,[],default,184.087,265.278,190.5885,206.87141666666665,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,All-Pairs Shortest Path,lf-cpp,12,4,,master,[],default,392.905,423.971,411.524,409.7803333333334,,,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Cigarette Smokers,lf-cpp,12,18,,master,[],default,9.2127,10.1904,9.7762,9.671125,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Concurrent Dictionary,lf-cpp,12,2,,master,[],default,143.07,152.525,147.2735,147.37375,,,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
12,Concurrent Dictionary,lf-cpp,12,4,,master,[],default,91.1626,114.891,103.356,103.90716666666668,,,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
13,NQueens first N solutions,lf-cpp,12,4,,master,[],default,387.491,418.389,396.95500000000004,399.4845833333333,,,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
14,Recursive Matrix Multiplication,lf-cpp,12,4,,master,[],default,75.9057,82.415,77.15129999999999,78.02469166666667,,,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Logistic Map Series,lf-cpp,12,9,,master,[],default,64.4773,80.4954,65.83224999999999,67.49704166666668,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sleeping Barber,lf-cpp,12,2,,master,[],default,194.026,206.637,197.6655,199.04966666666667,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Trapezoidal Approximation,lf-cpp,12,2,,master,[],default,74.5786,84.5684,77.2196,77.61143333333335,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
18,Counting Actor,lf-cpp,12,4,1000000.0,master,[],default,320.38,343.385,326.121,327.82733333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Concurrent Dictionary,lf-cpp,12,18,,master,[],default,91.1149,115.507,94.33455000000001,96.61877500000001,,,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
20,Recursive Matrix Multiplication,lf-cpp,12,9,,master,[],default,77.1443,91.493,78.8348,80.298,,,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Producer Consumer (bounded),lf-cpp,12,2,,master,[],default,160.131,178.494,163.9615,166.73175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
22,Philosophers,lf-cpp,12,4,,master,[],default,86.7115,93.3329,88.9576,89.59905833333333,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Chameneos,lf-cpp,12,9,,master,[],default,319.228,516.941,487.416,444.13458333333324,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Filter Bank,lf-cpp,12,4,,master,[],default,254.943,266.487,259.00800000000004,259.9125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
25,Bank Transaction,lf-cpp,12,9,,master,[],default,200.956,220.188,206.938,207.98475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
26,Precise Pi Computation,lf-cpp,12,9,,master,[],default,119.457,138.508,131.7185,130.67308333333335,,,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Radix Sort,lf-cpp,12,2,,master,[],default,398.571,433.009,413.12800000000004,414.3399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
28,Sleeping Barber,lf-cpp,12,4,,master,[],default,193.235,203.785,200.517,199.09074999999999,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A-Star Search,lf-cpp,12,2,,master,[],default,275.341,862.082,558.96,567.0285833333334,,,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
30,Producer Consumer (bounded),lf-cpp,12,18,,master,[],default,183.868,205.169,189.525,191.2355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
31,NQueens first N solutions,lf-cpp,12,18,,master,[],default,401.822,443.056,419.524,419.91075,,,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
32,Filter Bank,lf-cpp,12,2,,master,[],default,512.008,573.025,546.8285,547.1459166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
33,Chameneos,lf-cpp,12,18,,master,[],default,314.029,499.198,484.41949999999997,426.35875000000004,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ping Pong,lf-cpp,12,2,,master,[],default,133.143,144.763,135.938,137.17525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
35,Counting Actor,lf-cpp,12,9,1000000.0,master,[],default,324.915,343.586,333.15,333.66475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Producer Consumer (bounded),lf-cpp,12,9,,master,[],default,208.211,224.22,214.3135,216.16016666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
37,Fork Join (throughput),lf-cpp,12,2,10000.0,master,[],default,48.232,52.2368,50.31585,50.25836666666666,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,All-Pairs Shortest Path,lf-cpp,12,2,,master,[],default,282.116,315.381,287.2715,290.4485833333333,,,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,A-Star Search,lf-cpp,12,4,,master,[],default,147.369,392.446,279.394,280.45691666666664,,,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
40,Radix Sort,lf-cpp,12,9,,master,[],default,415.144,460.026,429.8795,431.03058333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
41,Thread Ring,lf-cpp,12,4,,master,[],default,187.499,203.098,191.77949999999998,192.51575,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
42,Radix Sort,lf-cpp,12,4,,master,[],default,415.21,436.383,426.259,425.12033333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
43,Ping Pong,lf-cpp,12,4,,master,[],default,134.655,147.498,136.248,137.47125000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
44,Fork Join (throughput),lf-cpp,12,4,10000.0,master,[],default,27.646,32.051,28.383699999999997,28.791524999999996,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Fork Join (throughput),lf-cpp,12,9,10000.0,master,[],default,28.4605,32.5467,30.2867,30.322275,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
