,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
0,Counting Actor,lf-cpp,12,2,1000000.0,master,[],default,302.13,304.694,302.9185,303.01883333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Philosophers,lf-cpp,12,2,,master,[],default,154.928,161.447,159.58300000000003,159.18116666666666,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Precise Pi Computation,lf-cpp,12,4,,master,[],default,83.384,109.796,101.982,99.76601666666669,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sleeping Barber,lf-cpp,12,9,,master,[],default,94.4935,94.8245,94.62440000000001,94.64182500000003,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fork Join (throughput),lf-cpp,12,18,10000.0,master,[],default,27.6082,29.1639,28.130049999999997,28.312841666666667,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Recursive Matrix Multiplication,lf-cpp,12,2,,master,[],default,83.3078,85.5706,84.81195,84.56949999999999,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Logistic Map Series,lf-cpp,12,18,,master,[],default,61.9258,63.8278,62.69485,62.717974999999996,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Big,lf-cpp,12,4,500.0,master,[],default,275.076,285.251,278.935,279.37325,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,All-Pairs Shortest Path,lf-cpp,12,4,,master,[],default,358.871,388.064,372.1415,372.7238333333333,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cigarette Smokers,lf-cpp,12,18,,master,[],default,9.01156,9.31966,9.01676,9.057351666666667,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,Concurrent Dictionary,lf-cpp,12,2,,master,[],default,131.217,137.905,136.24099999999999,135.87975,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
11,Concurrent Dictionary,lf-cpp,12,4,,master,[],default,93.1459,109.074,97.03354999999999,98.29375,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
12,NQueens first N solutions,lf-cpp,12,4,,master,[],default,405.102,417.529,412.158,411.1794166666668,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
13,Recursive Matrix Multiplication,lf-cpp,12,4,,master,[],default,84.066,87.9986,85.79390000000001,85.77547500000001,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Logistic Map Series,lf-cpp,12,9,,master,[],default,62.7795,65.483,64.09965,64.09756666666667,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sleeping Barber,lf-cpp,12,2,,master,[],default,93.4653,93.9048,93.5918,93.61139166666668,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Trapezoidal Approximation,lf-cpp,12,2,,master,[],default,68.8372,70.3144,69.03925000000001,69.23611666666666,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
17,Counting Actor,lf-cpp,12,4,1000000.0,master,[],default,307.026,307.735,307.35350000000005,307.3495833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Concurrent Dictionary,lf-cpp,12,18,,master,[],default,84.7705,92.4545,88.32245,88.715125,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
19,Recursive Matrix Multiplication,lf-cpp,12,9,,master,[],default,83.695,87.4378,85.27915,85.39552499999998,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Producer Consumer (bounded),lf-cpp,12,2,,master,[],default,138.367,139.961,138.9975,139.09425000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
21,Philosophers,lf-cpp,12,4,,master,[],default,85.5128,88.3487,87.00665000000001,87.05361666666666,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Filter Bank,lf-cpp,12,4,,master,[],default,275.046,278.343,277.48199999999997,277.12741666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
23,Bank Transaction,lf-cpp,12,9,,master,[],default,129.46,151.88,135.8145,136.15525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
24,Precise Pi Computation,lf-cpp,12,9,,master,[],default,96.1117,113.636,104.9975,104.54230833333337,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Radix Sort,lf-cpp,12,2,,master,[],default,399.723,407.0,402.1275,402.4863333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
26,Sleeping Barber,lf-cpp,12,4,,master,[],default,93.7025,94.0426,93.80935,93.813775,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,A-Star Search,lf-cpp,12,2,,master,[],default,100.538,1062.68,910.0229999999999,760.1340833333334,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
28,Producer Consumer (bounded),lf-cpp,12,18,,master,[],default,164.381,187.553,176.489,175.52599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
29,NQueens first N solutions,lf-cpp,12,18,,master,[],default,421.856,457.699,427.071,429.38566666666674,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
30,Filter Bank,lf-cpp,12,2,,master,[],default,549.464,572.232,566.673,564.9185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
31,Ping Pong,lf-cpp,12,2,,master,[],default,126.648,127.36,127.2295,127.14041666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
32,Counting Actor,lf-cpp,12,9,1000000.0,master,[],default,320.721,322.83,321.39,321.44708333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Producer Consumer (bounded),lf-cpp,12,9,,master,[],default,174.553,214.124,189.559,191.8538333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
34,Fork Join (throughput),lf-cpp,12,2,10000.0,master,[],default,48.0607,52.5374,50.35185,50.49512500000001,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,All-Pairs Shortest Path,lf-cpp,12,2,,master,[],default,260.681,264.725,261.67449999999997,261.9624166666667,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A-Star Search,lf-cpp,12,4,,master,[],default,201.946,522.141,450.43,433.04008333333326,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
37,Radix Sort,lf-cpp,12,9,,master,[],default,412.885,420.929,414.2395,415.36241666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
38,Thread Ring,lf-cpp,12,4,,master,[],default,177.593,177.811,177.675,177.68175,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
39,Radix Sort,lf-cpp,12,4,,master,[],default,402.23,410.547,406.0955,406.49533333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
